編碼,中文名,學名,亞種小名,英文名,科名,"臺灣地區遷徙屬性
（蘭嶼：蘭、綠島：綠、
龜山島：龜、本島局部地區：局）",馬祖地區遷徙屬性,金門地區遷徙屬性,東沙島遷徙屬性,特有性,臺灣保育等級
577,紅尾歌鴝,Larvivora sibilans,無亞種分化,Rufous-tailed Robin,鶲科 Muscicapidae,過、稀,過、稀,過、不普,無,,
578,日本歌鴝,Larvivora akahige,akahige,Japanese Robin,鶲科 Muscicapidae,冬、稀,過、稀,迷,無,,
579,琉球歌鴝,Larvivora komadori,komadori,Ryukyu Robin,鶲科 Muscicapidae,迷,無,無,無,,
580,藍歌鴝,Larvivora cyane,?,Siberian Blue Robin,鶲科 Muscicapidae,過、稀,過、稀,過、稀,過、稀,,
581,藍喉鴝,Luscinia svecica,svecica,Bluethroat,鶲科 Muscicapidae,冬、稀,過、稀,冬、稀,無,,
582,臺灣紫嘯鶇,Myophonus insularis,無亞種分化,Taiwan Whistling-Thrush,鶲科 Muscicapidae,留、普,無,無,無,臺灣特有種,
583,白斑紫嘯鶇,Myophonus caeruleus,caeruleus,Blue Whistling-Thrush,鶲科 Muscicapidae,迷,留、普,留、稀/冬、不普,無,,
584,小剪尾,Enicurus scouleri,fortis,Little Forktail,鶲科 Muscicapidae,留、稀,無,無,無,臺灣特有亞種(E. s. fortis),II
585,野鴝,Calliope calliope,無亞種分化,Siberian Rubythroat,鶲科 Muscicapidae,冬、普/過、普,過、不普,冬、不普/過、不普,過、不普,,
586,白尾鴝,Myiomela leucura,montium,White-tailed Robin,鶲科 Muscicapidae,留、普,無,無,無,臺灣特有亞種(M. l. montium),III
587,藍尾鴝,Tarsiger cyanurus,cyanurus,Red-flanked Bluetail,鶲科 Muscicapidae,冬、不普,冬、不普,冬、稀,過、不普,,
588,臺灣白眉林鴝,Tarsiger formosanus,無亞種分化,Taiwan Bush-Robin,鶲科 Muscicapidae,留、普,無,無,無,臺灣特有種,III
589,栗背林鴝,Tarsiger johnstoniae,無亞種分化,Collared Bush-Robin,鶲科 Muscicapidae,留、普,無,無,無,臺灣特有種,III
590,白眉鶲,Ficedula zanthopygia,無亞種分化,Yellow-rumped Flycatcher,鶲科 Muscicapidae,過、稀,過、稀,過、稀,過、稀,,
591,黃眉黃鶲,Ficedula narcissina,無亞種分化,Narcissus Flycatcher,鶲科 Muscicapidae,過、稀,過、不普,過、稀,過、稀,,
592,琉球姬鶲,Ficedula owstoni,無亞種分化,Ryukyu Flycatcher,鶲科 Muscicapidae,過、稀,無,無,無,,
593,白眉黃鶲,Ficedula mugimaki,無亞種分化,Mugimaki Flycatcher,鶲科 Muscicapidae,冬、稀/過、稀,過、不普,過、稀,過、稀,,
594,鏽胸藍姬鶲,Ficedula erithacus,無亞種分化,Slaty-backed Flycatcher,鶲科 Muscicapidae,迷,迷,無,無,,
595,黃胸青鶲,Ficedula hyperythra,innexa,Snowy-browed Flycatcher,鶲科 Muscicapidae,留、普,無,無,無,臺灣特有亞種(F. h. innexa),
596,橙胸姬鶲,Ficedula strophiata,strophiata,Rufous-gorgeted Flycatcher,鶲科 Muscicapidae,迷,無,無,無,,
597,紅喉鶲,Ficedula albicilla,無亞種分化,Taiga Flycatcher,鶲科 Muscicapidae,冬、稀,過、不普,過、稀,過、稀,,
598,紅胸鶲,Ficedula parva,無亞種分化,Red-breasted Flycatcher,鶲科 Muscicapidae,冬、稀,過、稀,過、稀,無,,
599,藍額紅尾鴝,Phoenicurus frontalis,無亞種分化,Blue-fronted Redstart,鶲科 Muscicapidae,迷,無,無,無,,
600,鉛色水鶇,Phoenicurus fuliginosus,"affinis, fuliginosus",Plumbeous Redstart,鶲科 Muscicapidae,留、普,過、稀,迷,無,含臺灣特有亞種(P. f. affinis),III
601,白頂溪鴝,Phoenicurus leucocephalus,無亞種分化,White-capped Redstart,鶲科 Muscicapidae,無,迷,無,無,,
602,赭紅尾鴝,Phoenicurus ochruros,rufiventris,Black Redstart,鶲科 Muscicapidae,迷,迷,無,迷,,
603,黃尾鴝,Phoenicurus auroreus,auroreus,Daurian Redstart,鶲科 Muscicapidae,冬、普,冬、普,冬、普?/過、普,冬、不普/過、普,,
604,白喉磯鶇,Monticola gularis,無亞種分化,White-throated Rock-Thrush,鶲科 Muscicapidae,迷,過、稀,無,迷,,
605,藍磯鶇,Monticola solitarius,"philippensis, pandoo",Blue Rock-Thrush,鶲科 Muscicapidae,留、稀/冬、普,留、普,冬、稀/過、不普,冬、不普/過、普,,
606,黑喉鴝,Saxicola stejnegeri,無亞種分化,Amur Stonechat,鶲科 Muscicapidae,冬、不普/過、不普,冬、不普/過、不普,冬、不普,過、不普,,
607,白斑黑石䳭,Saxicola caprata,?,Pied Bushchat,鶲科 Muscicapidae,無,迷,無,無,,
608,灰叢鴝,Saxicola ferreus,haringtoni,Gray Bushchat,鶲科 Muscicapidae,過、稀,過、稀,過、稀,迷,,
609,穗䳭,Oenanthe oenanthe,oenanthe,Northern Wheatear,鶲科 Muscicapidae,迷,無,無,無,,
610,沙䳭,Oenanthe isabellina,無亞種分化,Isabelline Wheatear,鶲科 Muscicapidae,迷,無,迷,迷,,
611,漠䳭,Oenanthe deserti,?,Desert Wheatear,鶲科 Muscicapidae,迷,迷,無,迷,,
612,白頂䳭,Oenanthe pleschanka,無亞種分化,Pied Wheatear,鶲科 Muscicapidae,無,迷,無,無,,
613,黃連雀,Bombycilla garrulus,centralasiae,Bohemian Waxwing,連雀科 Bombycillidae,迷,過、稀,無,無,,
614,朱連雀,Bombycilla japonica,無亞種分化,Japanese Waxwing,連雀科 Bombycillidae,冬、稀,過、稀,迷,無,,
615,綠啄花,Dicaeum minullum,uchidai,Plain Flowerpecker,啄花科 Dicaeidae,留、不普,無,無,無,臺灣特有亞種(D. m. uchidai),
616,紅胸啄花,Dicaeum ignipectus,formosum,Fire-breasted Flowerpecker,啄花科 Dicaeidae,留、普,無,無,無,臺灣特有亞種(D. i. formosum),
617,黃腹花蜜鳥,Cinnyris jugularis,rhizophorae,Olive-backed Sunbird,吸蜜鳥科 Nectariniidae,迷,迷,無,無,,
618,藍喉太陽鳥,Aethopyga gouldiae,dabryii,Mrs. Gould's Sunbird,吸蜜鳥科 Nectariniidae,迷,迷,引進種、稀,無,,
619,叉尾太陽鳥,Aethopyga christinae,latouchii,Fork-tailed Sunbird,吸蜜鳥科 Nectariniidae,迷,過、稀,留、稀/冬、不普,無,,
620,白喉文鳥,Euodice malabarica,無亞種分化,Indian Silverbill,梅花雀科 Estrildidae,引進種、不普,無,無,無,,
621,斑文鳥,Lonchura punctulata,topela,Scaly-breasted Munia,梅花雀科 Estrildidae,留、普,留、稀,留、稀,迷,,
622,白腰文鳥,Lonchura striata,swinhoei,White-rumped Munia,梅花雀科 Estrildidae,留、普,迷,過、稀,無,,
623,黑頭文鳥,Lonchura atricapilla,"formosana, jagori(?), deignani(?)",Chestnut Munia,梅花雀科 Estrildidae,留、稀/引進種、不普,無,迷,無,,III
624,橙頰梅花雀,Estrilda melpoda,無亞種分化,Orange-cheeked Waxbill,梅花雀科 Estrildidae,引進種、不普,無,無,無,,
625,岩鷚,Prunella collaris,fennelli,Alpine Accentor,岩鷚科 Prunellidae,留、不普,無,無,無,臺灣特有亞種(P. c. fennelli),III
626,棕眉山岩鷚,Prunella montanella,?,Siberian Accentor,岩鷚科 Prunellidae,迷,無,無,無,,
627,山麻雀,Passer cinnamomeus,rutilans,Russet Sparrow,麻雀科 Passeridae,留、稀,無,無,無,,I
628,麻雀,Passer montanus,saturatus,Eurasian Tree Sparrow,麻雀科 Passeridae,留、普,留、普,留、普,過、稀,,
629,山鶺鴒,Dendronanthus indicus,無亞種分化,Forest Wagtail,鶺鴒科 Motacillidae,冬、稀,過、稀,過、稀,過、稀,,
630,灰鶺鴒,Motacilla cinerea,cinerea,Gray Wagtail,鶺鴒科 Motacillidae,冬、普,冬、不普/過、普,冬、不普/過、不普,冬、不普/過、普,,
631,西方黃鶺鴒,Motacilla flava,"thunbergi, lutea ",Western Yellow Wagtail,鶺鴒科 Motacillidae,迷,?,無,無,,
632,東方黃鶺鴒,Motacilla tschutschensis,"taivana, tschutschensis, macronyx",Eastern Yellow Wagtail,鶺鴒科 Motacillidae,冬、普/過、普,冬、不普/過、普,冬、稀/過、普,過、普,,
633,黃頭鶺鴒,Motacilla citreola,citreola,Citrine Wagtail,鶺鴒科 Motacillidae,過、稀,過、稀,過、稀,過、稀,,
634,日本鶺鴒,Motacilla grandis,無亞種分化,Japanese Wagtail,鶺鴒科 Motacillidae,迷,無,無,無,,
635,白鶺鴒,Motacilla alba,"leucopsis, ocularis, lugens, baicalensis, dukhunensis, personata",White Wagtail,鶺鴒科 Motacillidae,留、普/冬、普,留、不普/冬、普,留、稀/冬、普/過、普,冬、不普/過、普,,
636,大花鷚,Anthus richardi,"ussuriensis,  sinensis",Richard's Pipit,鶺鴒科 Motacillidae,冬、不普,冬、不普,冬、普,過、稀,,
637,稻田鷚,Anthus rufulus,?,Paddyfield Pipit,鶺鴒科 Motacillidae,迷,無,無,無,,
638,布萊氏鷚,Anthus godlewskii,無亞種分化,Blyth's Pipit,鶺鴒科 Motacillidae,迷,迷,迷,無,,
639,草地鷚,Anthus pratensis,pratensis,Meadow Pipit,鶺鴒科 Motacillidae,迷,無,無,無,,
640,粉紅胸鷚,Anthus roseatus,無亞種分化,Rosy Pipit,鶺鴒科 Motacillidae,迷,無,無,無,,
641,林鷚,Anthus trivialis,trivialis,Tree Pipit,鶺鴒科 Motacillidae,迷,迷,迷,無,,
642,樹鷚,Anthus hodgsoni,"hodgsoni, yunnanensis",Olive-backed Pipit,鶺鴒科 Motacillidae,冬、普,冬、普/過、不普,冬、普/過、不普,過、不普,,
643,白背鷚,Anthus gustavi,gustavi,Pechora Pipit,鶺鴒科 Motacillidae,過、不普,過、不普,過、稀,過、不普,,
644,赤喉鷚,Anthus cervinus,無亞種分化,Red-throated Pipit,鶺鴒科 Motacillidae,冬、不普,冬、不普/過、普,冬、不普,過、不普,,
645,水鷚,Anthus spinoletta,blakistoni,Water Pipit,鶺鴒科 Motacillidae,迷,過、稀,迷,無,,
646,黃腹鷚,Anthus rubescens,japonicus,American Pipit,鶺鴒科 Motacillidae,冬、稀,過、稀,冬、稀/過、稀,過、稀,,
647,花雀,Fringilla montifringilla,無亞種分化,Brambling,雀科 Fringillidae,冬、不普,過、稀,過、稀,過、稀,,
648,臘嘴雀,Coccothraustes coccothraustes,japonicus,Hawfinch,雀科 Fringillidae,冬、稀,過、稀,迷,無,,
649,小桑鳲,Eophona migratoria,migratoria,Yellow-billed Grosbeak,雀科 Fringillidae,冬、稀,留、不普,留、普,過、稀,,
650,桑鳲,Eophona personata,"personata, magnirostris(?)",Japanese Grosbeak,雀科 Fringillidae,冬、稀,過、稀,過、稀,過、稀,,
651,普通朱雀,Carpodacus erythrinus,grebnitskii,Common Rosefinch,雀科 Fringillidae,冬、稀,迷,迷,過、稀,,
652,臺灣朱雀,Carpodacus formosanus,無亞種分化,Taiwan Rosefinch,雀科 Fringillidae,留、普,無,無,無,臺灣特有種,III
653,北朱雀,Carpodacus roseus,roseus,Pallas's Rosefinch,雀科 Fringillidae,迷,無,無,無,,
654,褐鷽,Pyrrhula nipalensis,uchidai,Brown Bullfinch,雀科 Fringillidae,留、不普,無,無,無,臺灣特有亞種(P. n. uchidai),
655,灰鷽,Pyrrhula owstoni,無亞種分化,Taiwan Bullfinch,雀科 Fringillidae,留、不普,無,無,無,臺灣特有種,
656,歐亞鷽,Pyrrhula pyrrhula,?,Eurasian Bullfinch,雀科 Fringillidae,迷,無,無,無,,
657,金翅雀,Chloris sinica,"kawarahiba, sinica",Oriental Greenfinch,雀科 Fringillidae,冬、稀,留、不普,留、不普,過、稀,,
658,赤胸朱頂雀,Linaria cannabina,?,Eurasian Linnet,雀科 Fringillidae,迷,無,無,無,,
659,普通朱頂雀,Acanthis flammea,flammea,Common Redpoll,雀科 Fringillidae,迷,無,無,無,,
660,紅交嘴雀,Loxia curvirostra,japonica,Red Crossbill,雀科 Fringillidae,迷,無,無,無,,
661,黃雀,Spinus spinus,無亞種分化,Eurasian Siskin,雀科 Fringillidae,冬、稀,過、不普,過、稀,冬、稀/過、不普,,
662,鐵爪鵐,Calcarius lapponicus,coloratus,Lapland Longspur,鐵爪鵐科 Calcariidae,迷,無,無,無,,
663,雪鵐,Plectrophenax nivalis,vlasowae,Snow Bunting,鐵爪鵐科 Calcariidae,迷,無,無,無,,
664,冠鵐,Emberiza lathami,無亞種分化,Crested Bunting,鵐科 Emberizidae,迷,過、稀,過、稀,過、稀,,
665,黑頭鵐,Emberiza melanocephala,無亞種分化,Black-headed Bunting,鵐科 Emberizidae,過、稀,過、稀,迷,過、稀,,
666,褐頭鵐,Emberiza bruniceps,無亞種分化,Red-headed Bunting,鵐科 Emberizidae,迷,迷,迷,無,,
667,赤胸鵐,Emberiza fucata,"fucata, kuatunensis",Chestnut-eared Bunting,鵐科 Emberizidae,冬、稀/過、稀,過、稀,過、稀,無,,
668,草鵐,Emberiza cioides,castaneiceps,Meadow Bunting,鵐科 Emberizidae,迷,迷,無,無,,
669,白頂鵐,Emberiza stewarti,無亞種分化,White-capped Bunting,鵐科 Emberizidae,迷,無,無,無,,
670,白頭鵐,Emberiza leucocephalos,leucocephalos,Pine Bunting,鵐科 Emberizidae,迷,無,無,無,,
671,圃鵐,Emberiza hortulana,無亞種分化,Ortolan Bunting,鵐科 Emberizidae,迷,無,無,無,,
672,黃喉鵐,Emberiza elegans,elegans,Yellow-throated Bunting,鵐科 Emberizidae,冬、稀,過、不普,過、稀,過、稀,,
673,紅頸葦鵐,Emberiza yessoensis,?,Ochre-rumped Bunting,鵐科 Emberizidae,迷,無,過、稀,無,,
674,葦鵐,Emberiza pallasi,polaris,Pallas's Bunting,鵐科 Emberizidae,冬、稀,過、稀,過、稀,無,,
675,蘆鵐,Emberiza schoeniclus,"pyrrhulina(?), pallidior(?)",Reed Bunting,鵐科 Emberizidae,迷,無,迷,迷,,
676,金鵐,Emberiza aureola,ornata,Yellow-breasted Bunting,鵐科 Emberizidae,過、稀,過、不普,過、稀,過、稀,,II
677,小鵐,Emberiza pusilla,無亞種分化,Little Bunting,鵐科 Emberizidae,冬、稀/過、不普,過、普,冬、稀/過、不普,冬、普/過、普,,
678,田鵐,Emberiza rustica,?,Rustic Bunting,鵐科 Emberizidae,冬、稀/過、稀,過、稀,過、稀,過、稀,,
679,野鵐,Emberiza sulphurata,無亞種分化,Yellow Bunting,鵐科 Emberizidae,過、稀,過、不普,過、稀,過、稀,,II
680,灰頭黑臉鵐,Emberiza spodocephala,"spodocephala, sordida",Black-faced Bunting,鵐科 Emberizidae,冬、普,冬、不普/過、普,冬、普,過、稀,,
681,黃喉黑臉鵐,Emberiza personata,無亞種分化,Masked Bunting,鵐科 Emberizidae,冬、稀,?,?,無,,
682,鏽鵐,Emberiza rutila,無亞種分化,Chestnut Bunting,鵐科 Emberizidae,過、稀,過、不普,過、稀,過、稀,,
683,黃眉鵐,Emberiza chrysophrys,無亞種分化,Yellow-browed Bunting,鵐科 Emberizidae,過、稀,過、不普,冬、稀/過、稀,過、不普,,
684,白眉鵐,Emberiza tristrami,無亞種分化,Tristram's Bunting,鵐科 Emberizidae,過、稀,過、不普,過、稀,過、稀,,
685,灰鵐,Emberiza variabilis,無亞種分化,Gray Bunting,鵐科 Emberizidae,迷,迷,無,無,,
686,稀樹草鵐,Passerculus sandwichensis,?,Savannah Sparrow,雀鵐科 Passerellidae,迷,無,無,無,,
